MUNICIPIO_NORMAL,MUNICIPIO,VEHICULOS
ABASOLO,Abasolo,1089
AGUALEGUAS,Agualeguas,1869
ALDAMAS,Los Aldamas,449
ALLENDE,Allende,23526
ANAHUAC,An√°huac,4608
APODACA,Apodaca,237137
ARAMBERRI,Aramberri,2963
BUSTAMANTE,Bustamante,1111
CADEREYTA JIMENEZ,Cadereyta Jim√©nez,49813
CERRALVO,Cerralvo,4398
CHINA,China,4991
CIENEGA DE FLORES,Ci√©nega de Flores,12268
COLOMBIA,NA,95
DATO NO REGISTRADO,NA,2
DR. ARROYO,Doctor Arroyo,12422
DR. COSS,Doctor Coss,839
DR. GONZALEZ,Doctor Gonz√°lez,1435
EL CARMEN,El Carmen,7863
GALEANA,Galeana,10810
GARCIA,Garc√≠a,54481
GRAL BRAVO,General Bravo,2743
GRAL ESCOBEDO,General Escobedo,147728
GRAL TERAN,General Ter√°n,6854
GRAL TREVI—O,General Trevi√±o,623
GRAL ZUAZUA,General Zuazua,12119
GUADALUPE,Guadalupe,347855
HERRERAS,Los Herreras,751
HIDALGO,Hidalgo,6873
HIGUERAS,Higueras,586
HUALAHUISES,Hualahuises,2528
ITURBIDE,Iturbide,737
JUAREZ,Ju√°rez,80820
LAMPAZOS,Lampazos de Naranjo,1449
LINARES,Linares,26148
MARIN,Mar√≠n,2370
MELCHOR OCAMPO,Melchor Ocampo,502
MIER Y NORIEGA,Mier y Noriega,1135
MINA,Mina,1870
MONTEMORELOS,Montemorelos,30904
MONTERREY,Monterrey,697050
PARAS,Par√°s,440
PESQUERIA ,Pesquer√≠a,13146
RAMONES,Los Ramones,2358
RAYONES,Rayones,569
SABINAS HIDALGO,Sabinas Hidalgo,16362
SALINAS VICTORIA,Salinas Victoria,13645
SAN NICOLAS DE LOS GARZA,San Nicol√°s de los Garza,286625
SAN PEDRO GARZA GARCIA,San Pedro Garza Garc√≠a,125511
SANTA CATARINA,Santa Catarina,120732
SANTIAGO,Santiago,31391
SN R DE GALEANA,,44
VALLECILLO,Vallecillo,727
VILLALDAMA,Villaldama,1803
ZARAGOZA,General Zaragoza,754
